Sample,Study,CalcOrArag,Units,Calc,Arag,IonicStrength,pH,pHscale,pHerr,pHerr2se,Temp,OxyFract,mgPrecip,DurationHrs,TitrantaddedL,Start_NaHCO3mMol,Start_Na2CO3mMol,Start_CamMol,Start_MgmMol,Start_BmMol,Start_DICmMol,Start_NaClmMol,Start_NamMol,Start_ClmMol,End_DICmMol,End_CamMol,End_NamMol,End_ClmMol,End_BmMol,End_MgmMol,Ave_NamMol,Ave_ClmMol,Ave_CamMol,Ave_MgmMol,Ave_BmMol,Ave_SO4mMol,Ave_KmMol,Ave_DICmMol,Ave_SrmMol,Ave_IonicS,d11Bmeas,d11Bmeaserr,d11Bsol,d11Bsolerr,BCa_umol,NaCa_mmol,MgCa_mmol,MnCa_umol,SrCa_mmol,CdCa_umol,BaCa_umol,UCa_nmol,NdCa_umol,AlCa_umol,logR,logR_2sd,logR_unit,seeds,Camismatch,VolReactor,MassPerVolReactor,RmgHr
CKG-Oct511,us,Arag,mmol/kgw,0,1,0.7345,8.765,NBS,0.061,0.016,25.04,28.99,70.01,375.23,0.19,5,5,0.5,2,7.9,10,685,695,690,18.55888271,0.785295576,695.70267,680.7278765,8.858951042,1.428785479,690.351335,685.3639382,0.642647788,1.71439274,8.379475521,0,0,14.27944135,0,0.73445,-28.36367938,0.18,-14.343,0.034,1060.51,19.875,1.197,8.28,0.569,0.263,99.87,7.585,0.118,57.24,-0.729137476,NA,mg/hr,0,1.044204768,1,70.01,0.186578898
iMH1,us,Arag,mmol/kgw,0,1,0.7347,8.78,NBS,0.049,0.014,25.01,28.92,45.33,411.05,0.21,5,5,0.5,2,7.9,10,685,695,690,19.12734506,0.804244511,695.7534,680.1120425,8.88935966,1.391087966,690.3766999,685.0560212,0.652122256,1.695543983,8.39467983,0,0,14.56367253,0,0.73465,-28.57844583,0.19,-14.343,0.034,1174.03,21.515,1.24,2.63,0.558,0.258,58.84,11.847,0.154,12.82,-0.957508933,NA,mg/hr,0,0.958982386,1,45.33,0.110278555
iMH2,us,Arag,mmol/kgw,0,1,0.7351,8.83,NBS,0.079,0.024,24.99,28.92,42.67,405.87,0.2,5,5,0.5,2,7.9,10,685,695,690,19.04701017,0.801566699,695.74691,680.199072,8.885100742,1.396445909,690.3734563,685.099536,0.65078335,1.698222954,8.392550371,0,0,14.52350508,0,0.73505,-28.69763673,0.19,-14.343,0.034,1186.57,22.114,1.319,2.89,0.556,0.293,65.2,11.661,0.155,10.73,-0.978264309,NA,mg/hr,0,0.917022811,1,42.67,0.105132185
iMH3,us,Arag,mmol/kgw,0,1,0.7296,9.326,NBS,0.099,0.018,25.05,29.09,263.51,406.88,0.2,0,10,0.25,1,7.9,10,685,695,687.5,19.06272078,0.929702251,679.09746,661.8222856,8.882695786,0.686083797,682.0487276,674.6611428,0.589851125,0.843041898,8.391347893,0,0,14.53136039,0,0.7296,-22.28471151,0.17,-14.343,0.034,1858.24,21.885,6.035,1.39,0.287,0.159,21.56,4.559,0.083,156.46,-0.188669242,NA,mg/hr,0,0.84611507,2,131.755,0.647635667
iMH4,us,Arag,mmol/kgw,0,1,0.7349,8.762,NBS,0.084,0.017,24.94,28.9,79.34,626.88,0.31,5,5,0.5,2,7.9,10,685,695,690,22.00245022,0.900081185,695.9921,676.997345,9.042308,1.199306879,690.4960501,683.4986725,0.700040593,1.59965344,8.471154,0,0,16.00122511,0,0.73485,-28.73943253,0.2,-14.343,0.034,750.19,16.018,1.034,3.03,0.597,0.227,160.67,10.007,0.116,17.01,-0.897692218,NA,mg/hr,0,0.870767716,2,39.67,0.126563298
iMH5,us,Arag,mmol/kgw,0,1,0.7286,9.376,NBS,0.053,0.009,25.06,28.88,92.44,595.17,0.3,0,10,0.25,1,7.9,10,685,695,687.5,21.63069828,1.122301814,674.63365,654.5463532,9.022263797,0.610882932,679.8168258,671.0231766,0.686150907,0.805441466,8.461131899,0,0,15.81534914,0,0.7286,-19.50200995,0.17,-14.343,0.034,1077.2,20.985,2.388,2.97,0.44,0.253,67.06,5.183,0.111,7.5,-0.808781095,NA,mg/hr,0,0.855219714,2,46.22,0.155316968
iMH6,us,Arag,mmol/kgw,0,1,0.7345,8.717,NBS,0.046,0.010,25.03,28.84,71.39,595.17,0.3,5,5,0.5,2,7.9,10,685,695,690,21.63069842,0.887689498,695.95849,677.4000762,9.022299441,1.224007955,690.4792435,683.7000381,0.693844749,1.612003978,8.46114972,0,0,15.81534921,0,0.73445,-28.54247058,0.18,-14.343,0.034,1313.64,23.111,1.307,3.05,0.27,0.308,88.4,9.975,0.151,7.17,-0.92100365,NA,mg/hr,0,0.825727519,2,35.695,0.119948922
iMH7,us,Arag,mmol/kgw,0,1,0.7301,9.408,NBS,0.102,0.021,25.05,28.89,67.07,479.4,0.24,0,10,0.25,1,7.9,10,685,695,687.5,20.13244986,1.009933303,677.25965,658.7913907,8.94275897,0.661058993,681.1298263,673.1456954,0.629966651,0.830529497,8.421379485,0,0,15.06622493,0,0.7301,-18.98544287,0.18,-14.343,0.034,968.62,18.13,2.525,3.89,0.291,0.135,167.2,3.764,0.095,46.46,-0.854169723,NA,mg/hr,0,0.882814704,2,33.535,0.139904047
iMH8,us,Arag,mmol/kgw,0,1,0.7306,9.425,NBS,0.11,0.022,25.05,29.02,75.21,450.82,0.23,0,10,0.25,1,7.9,10,685,695,687.5,19.72419094,0.979313821,677.97212,659.9481241,8.920935398,0.674781727,681.48606,673.7240621,0.614656911,0.837390863,8.410467699,0,0,14.86209547,0,0.73055,-18.8507199,0.19,-14.343,0.034,1048.33,19.517,1.994,3.02,0.282,0.167,64.7,3.949,0.106,18.26,-0.777727586,NA,mg/hr,0,0.988977222,2,37.605,0.166829333
iMH9,us,Arag,mmol/kgw,0,1,0.7307,9.431,NBS,0.108,0.022,25.07,28.97,58.76,450.82,0.23,0,10,0.25,1,7.9,10,685,695,687.5,19.72419106,0.979313939,677.97111,659.9481241,8.920879694,0.674333365,681.4855568,673.7240621,0.61465697,0.837166683,8.410439847,0,0,14.86209553,0,0.73065,-18.95720486,0.19,-14.343,0.034,1476.8,27.365,3.656,4.79,0.289,0.133,128.84,6.633,0.089,27.49,-0.884921388,NA,mg/hr,0,1.015034778,2,29.38,0.130340269
iMH10,us,Arag,mmol/kgw,0,1,0.7088,7.452,NBS,0.246,0.066,25.08,29.08,389.06,283.03,0.14,10,0,10,40,7.9,10,570,580,670,16.94250845,8.84291155,607.16623,667.1072868,8.772425926,30.74018185,588.5831129,668.5536434,9.421455775,35.37009093,8.336212963,0,0,13.47125423,0,0.70875,-38.52883689,0.26,-14.343,0.034,349.44,7.953,1.008,0.77,0.131,0.062,2.67,17.92,0.211,21.97,0.138184111,NA,mg/hr,0,1.023358248,2,194.53,1.374624598
iMH11,us,Arag,mmol/kgw,0,1,0.7091,7.59,NBS,0.281,0.072,25.03,29.1,339.86,307.25,0.15,10,0,10,40,7.9,10,570,580,670,17.39025585,8.768287516,608.90715,666.9207256,8.794869365,30.14251537,589.4535757,668.4603628,9.384143758,35.07125768,8.347434682,0,0,13.69512792,0,0.7091,-37.89653797,0.19,-14.343,0.034,912.32,13.968,1.412,0.52,0.13,0.082,10.21,16.345,0.175,10.57,0.043808162,NA,mg/hr,0,1.0985902,2,169.93,1.106135069
