samplename,rinse,BCa
iMH2,1,2601.6
iMH2,2,1194.9
iMH2,3,932.1
iMH2,4,971.2
iMH2,5,865.8
iMH2,6,1186.57
iMH3,1,5999.6
iMH3,2,2594.3
iMH3,3,2502.2
iMH3,4,2553.4
iMH3,5,2343.6
iMH3,6,1858.24
iMH4,1,1689.7
iMH4,2,941.1
iMH4,3,593.4
iMH4,4,637.1
iMH4,5,707.8
iMH4,6,750.19
iMH5,1,1953.8
iMH5,2,853.0
iMH5,3,789.6
iMH5,4,822.2
iMH5,5,730.5
iMH5,6,1077.20
iMH6,1,3298.2
iMH6,2,1486.5
iMH6,3,1097.2
iMH6,4,1018.3
iMH6,5,1030.5
iMH6,6,1313.64
iMH7,1,1583.2
iMH7,2,1126.3
iMH7,3,1023.9
iMH7,4,912.6
iMH7,5,874.2
iMH7,6,968.62
iMH8,1,1767.9
iMH8,2,1100.4
iMH8,3,1053.5
iMH8,4,885.5
iMH8,5,910.9
iMH8,6,1048.33
iMH9,1,1935.9
iMH9,2,1353.1
iMH9,3,1240.6
iMH9,4,1123.2
iMH9,5,1182.2
iMH9,6,1476.80
iMH10,1,504.7
iMH10,2,439.9
iMH10,3,388.1
iMH10,4,362.3
iMH10,5,360.6
iMH10,6,349.44
iMH11,1,1113.7
iMH11,2,979.0
iMH11,3,841.0
iMH11,4,682.6
iMH11,5,524.0
iMH11,6,912.32
iMH12,1,1133.5
iMH12,2,813.0
iMH12,3,683.3
iMH12,4,659.3
iMH12,5,631.7
iMH12,6,695.38
iMH13,1,3178.9
iMH13,2,1491.1
iMH13,3,1311.5
iMH13,4,1096.9
iMH13,5,1000.8
iMH13,6,1406.06
iMH14,1,2427.1
iMH14,2,1298.5
iMH14,3,1262.2
iMH14,4,930.5
iMH14,5,962.1
iMH14,6,861.76
iMH15,1,1905.1
iMH15,2,1293.0
iMH15,3,974.7
iMH15,4,702.4
iMH15,5,751.6
iMH15,6,1110.13
iMH16,1,3770.2
iMH16,2,1176.6
iMH16,3,858.7
iMH16,4,678.6
iMH16,5,596.2
iMH16,6,616.52
